Body fluid,mean,std,t-value,p-value
Serum,0.5305489362174728,0.22228288782569697,0.3366399755266564,0.37502892215438516
Whole blood,0.5828675968589903,0.07906792887915409,2.772894853102051,0.016149343665780535
Plasma,0.37591162715423554,0.1839231480966765,-1.9082694226073922,0.9509966235603591
