body fluid,in-mean,in-std,out-mean,out-std,t-value,p-value
Plasma,0.4510021053698132,0.17812293738077306,0.4972225283700802,0.17633919198756448,-1.7656311862901588,0.07848175766841323
Whole blood,0.5375641731896098,0.1094594065638127,0.5169450375110624,0.16638492230030974,0.6586156317198242,0.5107636150739103
Serum,0.5491709361767405,0.22785451779892377,0.49435604063706023,0.18461184297890743,1.3855220407971587,0.16725872520621057
