Pairs,probability,pvalue
0.05,0.49386859429456564,0.8622975596367631
0.005000000000000001,0.4789341015484336,0.9874375185277745
0.0005,0.4882096069868996,0.796010876148944
5e-05,0.5275229357798165,0.0855370918850256
5e-06,0.5193621867881549,0.22255955064913965
5.000000000000001e-07,0.5288753799392097,0.16050919150893314
5e-08,0.5335968379446641,0.157228564131709
5e-09,0.54337899543379,0.11188829182325259
5e-10,0.5337078651685393,0.20486803679042753
5.000000000000001e-11,0.5157232704402516,0.3755953959766877
