,PCA1,PCA2,Type
0,-5.759462406311339,0.7100040203654477,Control
1,-3.472199961490174,3.671682690511027,Cancer
2,6.1414377214306555,1.146754069853379,Cancer
3,-2.123537137338215,-1.8014126213852977,Cancer
4,7.721651630544263,2.4395051477756717,Cancer
5,7.400453651977851,-0.11209132464625039,Cancer
6,3.9180736137638315,-0.772004641445676,Cancer
7,-5.712817636299569,-1.7617006557775174,Control
8,8.245716174542363,-0.711364551312135,Cancer
9,0.10571556761412526,-1.9848569544655945,Control
10,-1.9857640866398354,-4.28242146127423,Cancer
11,-5.643079307357475,0.010612764275014432,Cancer
12,-5.467092749914346,-0.34869885229031705,Control
13,7.792942576164512,-0.9134659660384035,Cancer
14,-8.83610596626639,5.396953020088615,Cancer
15,-0.005553438515562921,-0.5101839548272226,Control
16,-2.732834362069918,-0.26502716508120316,Control
17,2.929213096758066,3.617932166737443,Cancer
18,-4.6181140940068275,-1.321906194771802,Control
19,3.2378299981947887,-5.037445684131723,Cancer
20,-3.26937971587143,3.197312887631115,Cancer
21,10.258610937105974,0.8532479538756425,Cancer
22,-3.7786585811515097,0.2032150258121037,Control
23,-3.8968627218058622,-2.4596771885487563,Control
24,-5.768967595863098,0.11242028853097134,Cancer
25,9.204269279207741,2.0972122387882224,Cancer
26,-3.88548448640262,-1.1745950582485354,Control
