,PCA1,PCA2,Type
0,-6.217822056791667,14.303317321208807,Cancer
1,-6.941789818327891,13.966262845330265,Cancer
2,-7.635127500372236,13.245286734539066,Cancer
3,-6.489796424805853,13.487270987688037,Cancer
4,-7.348070970129414,13.8496482593798,Cancer
5,-4.4970937072431765,-4.611456977939319,Cancer
6,-3.548442318376,-4.394438763142984,Cancer
7,-3.7199234615061565,-11.164935830327124,Cancer
8,-3.4510353778105793,-12.021253781557805,Cancer
9,-4.329564758589777,-10.459251860938265,Cancer
10,-3.7599296244018516,-11.007601395849768,Cancer
11,-5.584035073044495,-4.678581304886955,Cancer
12,-5.285007270113959,-5.717148764059316,Cancer
13,-5.512050204641723,-6.975801137959163,Cancer
14,-6.04907763004412,-6.698005042276881,Cancer
15,-5.363761352691306,-6.326806208612314,Cancer
16,-6.523939839534015,1.6154289348631987,Cancer
17,-7.422103968870984,9.182704752106275,Control
18,-6.713708031498191,11.357574297375498,Control
19,-6.305438944624188,-3.4560894800823054,Control
20,-7.172698776730413,13.690846809525192,Control
21,9.689399278240868,3.568674187671812,Control
22,10.227776228944187,6.5011179480710934,Control
23,23.966919961806806,5.20856277764855,Control
24,19.44083203421697,1.0356988934020563,Control
25,13.583268169999176,-0.5433795398884654,Control
26,19.375144515605975,-0.3539735214343408,Control
27,21.119166399508504,3.8843178544231645,Control
28,10.552025206929365,-9.66114181953158,Control
29,-0.08193386347278946,-0.39480911946402164,Control
30,1.4213771945686569,0.3012113520186405,Control
31,-4.4940406975357625,-4.741174521460799,Control
32,6.205593088011868,1.6897879011055599,Control
33,-4.378789329084733,-7.407336824772304,Control
34,-2.7120667067232533,-7.5017039186517245,Control
35,-4.0442543708678365,-8.772822043521582,Control
