study,AUC
Asakura2020,0.8827720488291719
Keller2009,0.6331269349845201
Keller2014,0.6068930341008452
Leidinger2014,0.5388471177944862
Yao2019,0.52
Fehlmann2020,0.4731728359557948
Patnaik2017,0.4642102083962549
Leidinger2011,0.3421052631578947
