abc,means,variances
6,325.3449434166667,90592.67064432643
14,3250.5775125,10699451.585370747
17,387.78483127083354,213176.02792496735
22,117.1810195833334,7583.932058763661
26,161.67218020833332,36870.118694428784
28,321.6172967916666,153978.3972890155
29,207.9683372083333,38843.564253485536
30,280.948035,15165.83211375751
31,97.31619912500001,15916.93179399229
38,444.30922904166664,1338278.1822630006
39,381.5515375,55549.414941673174
42,488.51495833333337,465796.8848427048
44,1592.667008333333,1815964.1652341215
46,804.536466666667,1184754.868697879
47,842.6897804166665,1088040.484005261
48,105.23515524999999,3316.5847108380535
49,178.75713854166665,30289.487970971546
50,906.7790462500003,2625117.1512207934
52,1117.8601500000002,930967.55212493
54,915.7360879166667,959759.0179208183
55,524.5816327499998,269513.5029956872
59,1351.9516249999997,616911.5308961178
61,67.99773312499998,2378.3625697041666
68,1466.7766858333334,1612097.6229422141
69,295.5126991666667,95470.94155933238
74,459.36653458333336,454910.3008658251
76,464.04849166666673,266892.04539152666
79,916.7999085,1673418.4635771874
85,347.8223545833334,121361.2191062345
94,377.1240037500001,145055.95512815056
98,580.1190566666668,288638.2068016601
103,6108.5474083333365,42805453.27906527
106,734.4647341666665,911951.2922799733
107,429.5689583333332,348565.45785885904
108,114.37233041666663,9215.165599871214
111,217.6330525,86335.73515291598
119,227.94501875,33449.66474700411
127,853.8558620833336,1341999.2998228346
128,3220.27839875,13095211.180625454
132,605.901125,446555.46479707444
138,115.72748845833337,47624.85672591362
139,161.99898,104262.60745330727
142,1488.0134950000001,3075301.6510850727
144,659.7727250000002,133364.3035418294
147,587.81081875,322254.40487088304
151,1637.0888441666666,3690290.6572145578
152,1632.3598179166672,3318056.2130841985
157,329.1660958333334,21204.8781128229
158,413.45802958333326,581434.3611269632
162,122.69227083333334,9923.113102532907
168,909.4092154166666,1062182.0584271958
169,265.22873124999995,41478.39220631044
174,1173.9637708333332,1241513.1347550051
176,712.61575675,708536.6018680381
177,334.9719495833333,25354.314257171965
178,99.11619374999998,5565.9089986461395
179,916.3908954166667,807207.8327215059
183,393.3503689583334,214897.47373256073
184,454.1300666666666,24636.93072684555
188,474.2773158333332,1295415.367413061
190,949.9089291666666,880067.7082630278
203,863.3572916666668,1374057.606672409
206,406.7154633333332,250898.3273501225
207,219.25106733333337,19495.824644833378
209,782.7586083333334,549735.4529660199
212,367.21986125000006,124749.77913404477
214,485.88366125,846657.1812797928
216,902.2540874999999,476353.01026799437
217,299.0335299999999,70579.22856002905
218,167.49409129166665,17549.48801329918
219,426.961349,233791.6153640804
223,1789.053745833333,1429518.6221857332
224,437.78529583333335,34083.100182631235
227,1264.6891083333333,1728871.6647277249
232,667.27005,301690.24467757915
237,438.45562291666687,167104.03676154363
241,627.5918737500001,575303.6172091988
250,4246.615542083332,18200263.866472233
253,1271.233171666667,3200895.777087759
257,293.8272075833333,119247.06080944066
261,5465.183168333333,32746225.962822948
265,203.25153333333333,51266.33394273732
266,2176.5673,6338766.995239469
268,1927.9354124999998,3190883.6088063414
270,128.62038958333332,4019.964264247046
271,1661.5807150000003,4170825.175448664
272,644.0989833333333,211003.70525257723
273,313.3404708333333,6696.257164437066
277,3752.959417083333,19499269.041302558
280,215.20150749999993,22669.607728055522
284,804.3906033333334,2006157.3423949273
285,1074.7313175,1964959.6971337404
293,148.18557875000002,13316.339660725193
296,685.7538404166667,246791.48809563977
299,486.39149583333324,16216.38946035123
300,755.3591041666668,262767.74182140455
301,386.2420137499999,59050.838766980014
302,1408.3410333333334,1010975.6591324123
304,689.5520229166667,451240.5581222318
314,877.0882058333335,1329220.6656455414
317,10837.532689583333,160674132.85387883
320,268.2489254166666,71139.39055110766
322,299.97839574999995,76356.02200429793
325,438.03123333333343,45182.79577710305
331,107.36507641666664,9940.055887332857
342,310.2228625,44547.556782448875
347,401.98166666666674,16303.85753737139
355,2857.372842916667,8924804.527814118
356,10187.878227916668,108544536.55953355
357,4005.000912083333,15593229.951399451
358,7625.821129166667,53514437.33638816
361,851.9040450833331,2197203.3841161965
362,13211.531479166668,60367952.0705522
363,2699.1778579166667,2225312.3970377245
365,786.0154416666666,588486.5900358808
369,1826.8656274125005,5202334.913886149
371,1020.5647695833333,534809.1694900804
374,1384.5834833333336,216814.11784063224
375,5226.2105624999995,26673381.24773499
376,934.5048375000002,155303.64362121653
377,338.12851125000003,32663.317899947415
378,1229.6222370833332,1038781.3559227876
379,860.9520333333334,629490.5745092822
382,513.4038720416668,602911.0190112378
386,340.67356624999996,78181.26850149123
389,445.65515166666665,59330.369712972395
392,615.7110041666666,314966.87380413787
394,434.62345583333325,190244.20157804585
395,399.10118325,353441.2373224783
396,2035.6011520833329,7289355.657993919
400,1054.7066708333332,627839.4394651504
401,402.0869987500001,226178.3274641262
403,3558.305007916668,14756123.098108279
404,591.2699554166667,804212.284458306
406,497.1106295833333,858754.2292584678
407,2074.6860574999996,6419043.348338026
408,338.10571541666667,79186.03479678661
411,553.6647804166666,258348.84519603188
413,648.9693579166667,472696.7766139414
418,796.6989333333336,288777.8545327455
419,2375.2823000000003,2549439.2574167694
420,147.36370416666662,14176.487433008608
422,611.25735,124671.11880667497
423,526.3686166666669,393892.6624649504
427,1882.5096541666662,5106863.310703149
