,PCA1,PCA2,Type
0,-10.48265801985513,-6.7932287841239525,Cancer
1,-19.634487305902994,2.962390611379368,Cancer
2,-7.115198881827253,18.637789089343435,Cancer
3,-19.179109128777988,-6.388780849647376,Cancer
4,-25.885126430351406,-11.366314425021288,Cancer
5,-15.04714491387904,8.613606626453512,Cancer
6,-5.000130283709971,7.715457833571151,Control
7,18.650190227818065,5.021894288805973,Control
8,26.05502495721898,3.718360320641321,Control
9,27.129682677505517,0.8107329985275852,Control
10,11.848349698603329,-12.681774529983507,Control
11,18.660607403157876,-10.25013317994621,Control
