Fold change A,Fold change B
-0.37984152923535813,-0.32239881059585557
-4.222598060212863,-0.8380397829470128
-3.532686489103139,-1.3253192905930777
0.06935266685615546,0.1858770818466724
0.25645507597819217,-1.5762609230209716
-1.691042259854689,-1.7203505293726107
-3.4968522454147055,-1.9492154118188616
-4.613402227524918,-0.7800873345157875
0.1338210396240731,0.7682848352821433
-3.852027971687681,-1.0395936987588161
-3.410033856382683,-0.8029899802143752
0.006887411132143235,1.4311150912265695
-4.252340619239293,-0.43264195568869646
1.3314967846697081,0.833812662539041
0.7461277922280636,-1.174082778674526
0.33122926137097436,0.6040854430654784
-1.287503212635504,-1.0053495471715714
-3.5240296308965258,-1.5927402274353146
-3.693040060154357,-1.8085047501295728
1.1665981924503792,0.43443864281698774
-0.31322615651449465,0.587377186009924
-3.3378830093047,-1.4700435964844716
-0.40201807251404265,0.6682067837473158
-2.284113297437256,-1.3143692168431758
-3.0195172685401106,-1.308091385412207
0.3779267636018894,0.3145447546216874
-1.1807867340041724,-0.6138188991485705
-0.5560491186061303,-0.1943022240310732
-3.0676926769530435,-1.3519760415421043
-3.388305275064929,-1.4210532506153044
-2.5671027894971847,-1.7154369292015126
-0.10944181632939043,1.3111600915229333
-1.063872462820067,-1.160023363314812
-2.685537875291608,-1.3345433478117483
-0.98617354983102,-0.5904079350998321
-1.9525434938292467,-1.3545049011090011
-1.7421009371880813,-0.10851964720332931
0.022243691275411398,-0.4879055613034449
0.1948347758085952,0.3584463573334762
-3.0353536756308355,-1.6519267963782334
-1.1565939479164902,-0.3758821151259683
-1.0971293136045417,-0.08100805217450915
-2.624422740042457,-1.6483332653813425
-2.0838651353768896,-1.3151500365703312
0.24804069969713582,0.21202812068483473
0.4035110920908636,0.5877237575444633
-2.8991199205702776,-1.3684922927321759
1.2651909153917824,1.4850527913645082
0.5382785836326076,0.9922626708866096
-0.02141622999042939,0.11019875753893046
0.3492361870094133,0.2227761918023194
-4.035978381242199,-1.01250388375477
-1.5301312256494208,-2.221617976934735
-3.010540259742201,-0.8188823883645819
-0.2566385672630521,-0.5555395037883869
-1.2334615805829352,-1.756886304868659
-0.24138245929337332,0.2685221738726064
-0.23631793077819718,0.7899302557716502
-3.175257890174879,-0.8027592119959236
0.015814881240424197,-1.254938722321643
-1.2254268149088332,-1.1838425577721172
-1.0915372354830644,-1.8442063527663763
-2.104547598550331,-1.5405416501917601
