threshold,intersection,mirna-intersection,union,mirna-union
0,0.6247827903091061,68,0.7419492240215924,1042
1,0.625771038172354,68,0.7343023223121907,839
10,0.6402242384808174,68,0.6430706172482489,608
100,0.535631105006105,33,0.6835579935415462,326
1000,0.7182402721547458,7,0.7156095969089391,148
