,means,variances
2588,0.007058531916666666,5.9987761521819535e-05
2589,1.5795962208333334,0.7355136260003943
2590,0.023701473583333337,0.0006479144370023392
2591,0.011797850083333332,0.00017557969899021373
2592,0.00289349675,1.8974153241868198e-05
2593,0.008481286666666666,8.417273420075971e-05
2594,0.30654370766666666,0.03285107683392708
2595,0.022291649833333333,0.0006682480305937164
2596,0.00302447675,1.7236842794419474e-05
2597,0.028754707333333334,0.0008947475987787124
2598,0.0032644124166666664,1.735826979901263e-05
2599,0.03220873400000001,0.0019215002126602198
2600,0.09461467283333334,0.006142134450548991
2601,0.035066921833333334,0.0007987254120655422
2602,0.011493674333333335,0.00014664153685093863
2603,0.3374637124166667,0.05919408888806508
2604,0.022098644,0.0009244676068488916
2605,0.026300075833333336,0.0004510029908862254
2606,0.004393719250000001,6.741690862502784e-05
2607,0.0242737535,0.0006875778944356938
2608,0.09295451533333333,0.009461770326514211
2609,0.020179792916666668,0.0001540056954212861
2610,0.13309322750000002,0.005609901291758825
2611,0.17136066741666667,0.011265075867058098
2612,0.03209432491666666,0.0010760740583117317
2613,0.01632233925,0.00024374366254666989
2614,0.012297715166666666,0.0002303470307942827
2615,0.1340595724166667,0.007420989764096774
2616,0.02623138233333333,0.0006587348862705819
2617,0.012407813499999998,0.0004355973847298251
2618,0.00592292225,4.298237177992001e-05
2619,0.09094935375000002,0.0048859412175396464
2620,0.18401534658333332,0.008311544733484154
2621,0.15793903266666667,0.03336957587553084
2622,0.006234192833333333,8.563890217935235e-05
2623,0.0056915635,6.23153260694939e-05
2624,4.649489185916667,6.826353563919036
2625,0.024934317999999997,0.0007384531039358475
2626,1.5668301856666667,3.517260952634508
2627,0.00478791425,3.10283064277433e-05
2628,0.014692710583333332,0.0002472491870554252
2629,0.004723487750000001,5.076517536996583e-05
2630,0.00616302475,7.366842585947003e-05
2631,0.008386387166666667,0.00020437451094396488
2632,0.0075826932500000005,0.00016948609675679295
2633,0.022648759333333334,0.0005585008737002151
2634,0.0796395455,0.0032317818165008756
2635,0.011550649500000001,0.00014490715775592229
2636,0.018522185333333333,0.0006422475378504345
2637,0.006936803499999999,0.00010435368450505628
2638,0.006066802833333333,9.111632053421398e-05
2639,0.0026893821666666667,3.852545553468515e-06
2640,0.017269694500000002,0.0002048046615688614
2641,0.008405068833333333,0.00013604235595210358
2642,0.021246578833333335,0.0006455008547827699
2643,0.22293903433333337,0.09015843457057875
2644,0.002270003666666667,9.382876606029694e-06
2645,0.011561707249999999,0.00027211982748560166
2646,0.008839436416666666,5.950058914444064e-05
2647,0.012229193,0.0003043625091360356
2648,0.07111005033333333,0.012558077756011643
2649,0.014649210166666668,0.0002558007946521929
2650,0.004898556083333334,5.2694322109722996e-05
2651,0.013720542166666669,0.00028027192374514604
2652,0.04677192683333333,0.004474645822070827
2653,0.019996478583333335,0.00045850763301366707
2654,0.009165806416666667,0.00012382797344139882
2655,0.017499750499999998,0.0003374606074060297
2656,0.0073147627499999986,8.207783943226076e-05
2657,0.35516963149999997,0.23635600739073181
2658,0.055238989749999995,0.0038673554569664333
2659,0.0608223895,0.011834730234846304
2660,0.13506967875,0.022125927279265992
