,PCA1,PCA2,Type
0,26.02670946896523,-2.4928605219749476,A
1,-9.936540651309278,-5.475435100046511,A
2,-9.846089805157405,-9.148606710701452,A
3,-4.056707728238904,-9.779637135887766,A
4,-15.603458498305407,1.0011140092703326,A
5,-19.919938388586583,-4.503725766085896,A
6,30.420724246842493,1.4373239085473044,A
7,-13.321580778860106,-4.752280635157994,A
8,-6.286772264989148,-1.1215378102313318,A
9,33.54965081786646,-5.1284879369368745,A
10,-2.539685716020503,-9.624459476676181,A
11,20.43331244477706,3.0478932860269885,A
12,-8.87772636871118,-3.35456695270429,A
13,29.82256940556477,3.2483489145790156,A
14,-14.939199249981991,-7.290389217406138,A
15,1.1458345192902124,9.080337817609164,A
16,35.16922267936776,-3.000330448645834,A
17,-13.428417115069376,-10.537800399112493,A
18,-1.5185660541317199,-6.948632954152885,A
19,29.970719293099094,0.6710005670423984,A
20,-9.060661493971574,-1.1502150501609603,A
21,-7.064856373493338,-6.304974431782562,A
22,-22.57637653195108,-5.03486961276138,A
23,-10.620635176406559,-4.584250856436944,A
24,-12.824484622521059,-5.100600618267743,A
25,-9.001183921425715,-0.44022028386407924,A
26,-11.702700998637974,-7.314823980100508,A
27,-5.722802832336916,10.57426200828813,A
28,38.66820087196759,-1.3450490759906781,A
29,26.97119537534309,-3.466356028830012,A
30,-20.90554018477254,10.469612094313794,A
31,-23.733660642627214,0.7622739911932506,A
32,-25.757900051331568,-1.9348094883427673,A
33,-10.046826510227385,-7.248237227552032,A
34,0.7150149860796773,-7.974428056998,A
35,2.67384384361576,-0.760118359422265,A
36,32.55301444428811,3.1168537411418,A
37,-9.05501001776573,-3.704209276163591,A
38,-5.266918098128518,-5.926238626912972,A
39,-8.284229014824417,-8.265865698251481,A
40,-11.12024998630535,2.1147893728155758,A
41,-6.54331475804327,-7.8591415388422,A
42,10.406462890327404,6.065019903693482,A
43,-4.3024018431976145,0.8405360212278262,A
44,24.17557175335583,-2.7435648277971207,A
45,29.476088986520423,0.10206938499372631,A
46,-4.775897745199655,-0.7344407363761404,A
