real,mirna-shuffled,case-shuffled
0.526855867374476,0.9155896586906765,0.30258240397582836
0.3004935887308676,0.6016954481534346,0.9325660005878844
0.5314227664304965,0.21091224740727663,0.3152370402397103
0.09833689979107124,0.014923725435917645,0.08821947412811301
0.013188191540158541,0.02661835202240049,0.0010609238097110164
0.2732334564851735,0.07368726461225886,0.10108729160866226
0.10630752423861922,0.4780834354206417,0.08092627001405446
0.7216505897225961,0.7868016190045758,0.24432858657142223
1.8567128285598578e-07,0.8627215902864119,0.32209496946380095
0.011068569745153483,0.6156749046651151,0.4711005867333548
0.00016486759087620915,0.9465319665011567,0.7944544439776836
0.0012371038133774973,0.559075264743623,0.01266002920941884
0.17037816368364464,0.19979628210721687,0.22729668540158895
0.03463677267455666,0.6157937470919718,0.007386750485929421
0.550069005986794,0.6103719205927467,0.45316398765792026
0.3532347643235063,0.30137193369462284,0.6014886428753458
0.04091393753516651,0.08535261845411536,0.049750980653920814
0.5938726854978138,0.040328939190453286,0.2961132804247653
0.18951993116144716,0.4084859987888164,0.30209104338667603
0.005659864642855631,0.8333830682923664,0.024095600940099045
0.005471759593645321,0.3388363600550475,0.18631291874009287
0.8446607769252512,0.39205991638147697,0.27223475896216337
0.9041639253566934,0.37929033173917237,0.3459424240331628
0.2416415508723455,0.29376186490104733,0.16316546633182905
0.9016516651793367,0.7370434107931539,0.1062362463278054
0.2637128285342815,0.5095732721490516,0.952808094253757
0.33424964302254956,0.9652820666571584,0.11690277601719755
0.35068157936914146,0.6344021449208511,0.7821637671159095
0.07049918709873497,0.30291213894899593,0.30025506341288116
0.21719430988001467,0.9121912185514189,0.3427682214662055
0.10066039245211417,0.7897482100952101,0.7156144040166844
0.818606370322612,0.3912820334718146,0.7334537502930172
0.30446675252006977,0.09501721048214878,0.9636522045723331
0.029212623503017014,0.35197734778317874,0.5285793894612212
0.27746454600555587,0.3890424048905863,0.008811854383185136
0.5199719649114294,0.695828030288441,0.2310530348606853
0.6667139634330298,0.9246005152326074,0.6737269219823245
0.9879374269035173,0.7261248436986448,0.1982321402400838
