Technology,mean,std,t-value,p-value
Sequencing,0.625161421181158,0.0894992059672794,2.7969280806115,0.034013067167252185
Microarray,0.505409502098987,0.2617084937353308,0.07733987995022251,0.4697654207234262
qRT-PCR,0.49335649634278445,0.21864332352255997,-0.0859420980466396,0.5330404976547505
