Study,aucs
Abdollahi2019,0.5416441319632234
Asakura2020,0.3916145373390236
Bianchi2011,0.548741418764302
Boeri2011,0.08771929824561403
Chen2019,1.0
Duan2021,0.888888888888889
Fehlmann2020,0.43157292907714007
Halvorsen2016,0.65625
Jin2017,1.0
Keller2009,0.3157894736842105
Keller2014,0.5798600990964734
Keller2020,0.5869318181818182
Kryczka2021,0.2811059907834102
Leidinger2011,0.47180451127819545
Leidinger2014,0.5375939849624061
Leidinger2016,0.45916568742655706
Li2017,0.44444444444444453
Marzi2016,0.16273924457994582
Nigita2018,1.0
Patnaik2012,0.5378787878787878
Patnaik2017,0.36982784657203255
Qu2017,0.8055555555555556
Reis2020,0.24489795918367346
Wozniak2015,0.5735999999999999
Yao2019,1.0
Zaporozhchenko2018,0.2617647058823529
