threshold,intersection,mirna-intersection,union,mirna-union
0,0.6247827903091061,68,0.7410731556455241,1042
1,0.625771038172354,68,0.6949519029946661,839
10,0.6402242384808174,68,0.6781970953023584,608
100,0.535631105006105,33,0.7181196380374012,326
1000,0.7182402721547458,7,0.6876029818135081,148
