Study,t-value,p-value,proportion of miRNA
Asakura2020,-9.670206613822955,7.258045367790279e-22,1.0
Duan2021,-3.2484783288668133,0.008742987331075116,0.7402031930333817
Fehlmann2020,-14.706895773954127,2.363254933415673e-47,1.0
Leidinger2014,0.43750433368347874,0.6629546672072424,0.5602322206095791
Patnaik2017,0.10269149400985586,0.9183356192838674,0.7518142235123367
