Group,mean IG,std IG,mean OG,std OG,t-value,p-value
Microarray,0.04936383735325958,0.20438521182499486,-0.0013904727870085495,0.17667787621918396,1.9802004300117895,0.04891597509954472
Sequencing,0.08585625161006974,0.0982951670450422,-0.03320428946100219,0.15870921474390862,1.6504844891080412,0.10286516213625234
qRT-PCR,-0.007422396178075919,0.2772427285481222,0.02414308401315527,0.2028808160308235,-0.5186183906254656,0.6050686083047712
Plasma,-0.07246597475948925,0.24425824993079193,0.0069095690454063965,0.17723138333852212,-1.9809244219990025,0.0494530257736426
Whole blood,0.11602651173245905,0.22523669907923,0.03940490532738749,0.1862630479379773,1.4533699434556837,0.14873125886090943
Serum,0.04767512565296702,0.28569336470956963,0.012861603376219263,0.16413363095192351,0.6514846573731875,0.5160802519042992
