Group,mean deterministic,std deterministic,mean random,std random,t-value,p-value
Sequencing,0.08585625161006974,0.09829516704504224,-0.019948110555148706,0.16069459071970482,1.2559375916472453,0.2445755184234679
qRT-PCR,-0.007422396178075929,0.2772427285481222,-0.04940524838483471,0.15857707174433966,0.49182898519168916,0.6269671563171818
Microarray,0.049363837353259575,0.20438521182499486,0.022112175042570077,0.14839306347232917,1.0292583615778188,0.3047393414244812
Serum,0.047675125652967026,0.2856933647095697,-0.04446196614731782,0.24983755142680414,0.8753170189060391,0.390077705372723
Whole blood,0.11602651173245906,0.22523669907923,0.0292968772656136,0.11303824655624466,1.3328914141490251,0.19331241190328946
Plasma,-0.07246597475948924,0.2442582499307919,0.019944421649499857,0.18937790376773642,-1.5821179709979765,0.11946265078630063
