Fold change A,Fold change B
-0.4930953012198718,0.07931811406342647
0.23813346453420595,-0.46872219774725665
-0.5718525683017626,-0.4219071491319257
0.12641005459312118,-0.4362186398758977
0.06519251304450481,-0.3649324369114527
0.22894198837781915,-0.5344000295659098
0.042301438404496655,-0.48778323170068566
-0.5039578363587196,-0.635343363792553
-0.8807309477584161,-0.31046598367416967
-0.22290543896971146,0.4204744695446988
-0.7643160390730175,-0.484624232870484
-0.17593615120705797,-0.8570325641410175
-0.39033894854786455,-0.8117906628574684
0.15056089205998135,-0.5872952948634621
-0.4506838125127363,-0.4534896934736741
-0.060074359655573895,-0.09526110289230647
-0.1424651194114953,-0.30626220487304506
0.13591686483280677,-0.346652776374389
-0.13813539067087022,-0.3109887136317796
-0.4223381150433219,-0.4176257387945041
-0.09210782007642149,-0.462824451693028
0.2312238247299943,-0.6855909204735939
0.011280986835912473,-1.0717872354523292
-0.13373957537664732,0.060530709037053654
-0.12258624979164282,-0.436115840937722
0.2817406888318712,-0.40188017146485006
-0.6196363658991664,-0.06931477606969197
-0.1214981181864532,-0.5703162514292877
-0.6006162974461728,-0.657343770016346
-0.0580904714408826,-0.3374356522444934
-0.8493716565692984,-0.7260558946328971
-0.08188453022395897,-0.26697638045219646
0.11406121157728072,-0.3041076014499092
0.005419705871422912,0.02358033346168433
-0.5937847222812512,-0.03801572380980782
-0.2703906057176447,-0.6015142782864302
0.08189893310213325,-0.5502755910182712
0.10069241327955394,-0.3112845279024875
0.2552242757505182,-0.21626093735815632
-0.537501198114307,-0.47208459716813467
-0.15484297832227945,-0.5466541228196218
-0.09789762985037906,-0.20830021719158814
0.058361362012584156,-0.6321129354599733
-0.255980475239525,-0.4996908415797785
0.09395395955498337,-0.009084409625365546
-0.30148483682018823,-0.19695699275396658
-0.5428291330375,-0.43032619692102814
0.23877665211911397,-0.7596386713162535
-0.07550803245259059,-0.5135200263077021
0.16277403891609188,-0.47461179825242916
-0.45810318295484426,-0.39204179953820484
-0.017739653852883744,-0.2982641648221622
-0.4931594473047791,-0.43953467251296774
-0.13400648570871487,-0.8714534096066199
0.04391652672520223,0.07583155195306018
-0.4889268369253821,0.03443547700692328
-0.3498770437816897,-0.3929500168281755
0.02817813669428463,-0.48178359725839104
0.051294067661021986,-0.3771220996847368
0.01026073054731015,-0.6297792527885258
-0.2086155011058176,-0.6634760929254007
-0.033140723014302695,-0.18771978580165222
0.001394648773617827,-0.4745941989966341
0.2414607946646993,-0.020287104749977334
-0.20584112867764515,-0.370553806431393
-0.49773037479402105,-0.09292009302090648
-0.23865240587449932,0.22278132022550273
0.02600265782896396,0.017281010645173647
-0.38806560969985165,-0.367994435245781
-0.22810673784915356,0.04530409549702797
-0.1007590414794022,-0.4669274576085508
0.007515022399480573,-0.4900499978822729
-0.014703064420423975,-0.0029771127351795163
0.045210806791689415,-0.45474374596242073
-0.701094545097095,-0.1453546350204856
0.26052383982883115,-0.5132498167253522
0.23947247759764928,-0.651839533555775
0.01607186966718988,-0.4980068266393439
