means,variances,type
1.3100760347825793,8.37397834602159,Sample points
0.988021911935364,8.508443648770447,Sample points
2.6382198132171517,4.411200817864368,Sample points
1.103018598647704,8.235410191606357,Sample points
6.0234068474968065,0.6815516707249988,Sample points
1.347000541559833,7.543391746691189,Sample points
5.152996926537401,1.2864179538559561,Sample points
1.7965897623285296,8.183787680255952,Sample points
1.3556738976559837,8.419920629654008,Sample points
6.034963316501335,14.733627287947701,Sample points
0.5141322219933246,9.025080646266684,Sample points
-0.4139912098306632,7.601296239965408,Sample points
0.34166947683306603,7.407664426631372,Sample points
1.5909349012561445,5.1893305250008845,Sample points
0.318113138565439,7.502928465751566,Sample points
0.11435820839984086,7.823987055380766,Sample points
-0.06474901035683715,8.038901973827649,Sample points
-0.1828097306282046,8.206859129613546,Sample points
0.6643402197550757,6.791038133246906,Sample points
1.7404526623811376,9.321612676663682,Sample points
11.256239458985842,0.1920003858263616,Sample points
7.701629550488787,0.1966762434586862,Sample points
0.9070312037208882,7.789108592138127,Sample points
1.440051056825585,5.801765509182478,Sample points
2.7915794694345584,3.96672947947138,Sample points
2.708813312041928,4.620214978839417,Sample points
-0.40750257438862214,7.472143969772538,Sample points
0.041935277221154976,7.460207213785639,Sample points
-0.5231004189521905,7.553911228888139,Sample points
5.879314250871792,1.1346577729284077,Sample points
0.6946445935731852,8.910405474233512,Sample points
1.8647589280136234,5.358677281817141,Sample points
-0.39243083471207313,7.030998479887634,Sample points
-0.2842764169057168,7.340195624559822,Sample points
3.7272919312654857,2.910505135476503,Sample points
-0.6036800589789008,7.1706963726745165,Sample points
0.023308754085470295,7.16106017591808,Sample points
-0.41865401481410325,7.143520052549337,Sample points
2.2935061406402233,6.28032330946704,Sample points
1.2068211634957338,8.076213208894803,Sample points
4.753450198105245,2.6261210153549746,Sample points
9.428712132240369,4.295039754618173,Sample points
1.2503248383536303,7.5912164884632425,Sample points
2.640448671612181,4.428132508388127,Sample points
-0.16253195770966913,7.7680677832042235,Sample points
-0.2352530450256409,8.051242077172184,Sample points
-0.221889267573184,7.9811086403907625,Sample points
-0.04942496564182828,7.98260231143645,Sample points
0.14732180135577108,8.823095021707484,Sample points
0.5458767719041173,9.78964981694271,Sample points
0.2967742107016579,8.876112175721925,Sample points
2.91473167274573,8.185949224796389,Sample points
0.7802663464166675,7.972668849544715,Sample points
1.8540766181394233,5.479448414845677,Sample points
0.41762520463675074,6.437003835339649,Sample points
-0.585648240225161,7.09176375873224,Sample points
6.611024219125275,4.046432243632428,Sample points
1.6339629803186473,4.979724956643173,Sample points
-0.7872015725144236,6.604541929520789,Sample points
