Fold change A,Fold change B
-0.32239881059585557,0.04151079068296095
-0.8380397829470128,-0.13382619015908992
-1.3253192905930777,0.03334277012734077
-1.5762609230209716,-0.006275722538335724
-1.7203505293726107,-0.11581342928569884
-1.9492154118188616,-0.12340657449429601
-1.0395936987588161,-0.144413477800099
-0.8029899802143752,-0.06917666675844847
-0.43264195568869646,-0.14707227628008096
-1.174082778674526,-0.05813426946771273
-1.0053495471715714,-0.10184874898092905
-1.5927402274353146,-0.2427171621410521
-1.8085047501295728,-0.4070356988318265
0.43443864281698774,0.17207935387558645
-1.4700435964844716,-0.1368921920098799
-1.3143692168431758,-0.11557389789110595
-1.308091385412207,-0.16113276914268795
-0.6138188991485705,-0.16007883100647902
-0.1943022240310732,0.1875291288268328
-1.3519760415421043,-0.11198092697221143
-1.4210532506153044,-0.09969296642959236
-1.7154369292015126,-0.0030660018507898718
1.3111600915229333,0.1655880530821172
-1.160023363314812,-0.029821658626824246
-0.5904079350998321,-0.11154977046194409
-0.10851964720332931,0.014994665301519638
0.343713225103729,0.17497768375016137
-1.6519267963782334,-0.1519587167297774
-0.3758821151259683,0.17775624792743977
-0.08100805217450915,-0.06668554025468165
-1.6483332653813425,-0.13614964468664165
-1.3151500365703312,-0.08168020555620129
-1.3684922927321759,-0.039043617318653426
1.4850527913645082,0.22657274614548623
0.11019875753893046,0.027713782354406108
-1.01250388375477,0.06687716537035598
-2.221617976934735,-0.11219650522734506
-0.8188823883645819,-0.04407377660510564
-0.5555395037883869,0.3019772291633517
-1.756886304868659,-0.32037324026809155
-1.6527230117178648,-0.1540665930021955
0.2685221738726064,0.036336912559752854
-1.254938722321643,0.021581778652826178
-1.1838425577721172,-0.023138732717680525
-1.8442063527663763,-0.062206303175793204
-1.5405416501917601,-0.07058990198654702
