Fold change A,Fold change B
-0.6940743525008766,0.017281010645173647
-1.107941948761241,-0.4669274576085508
-2.112400752874462,-0.3112845279024875
-0.44993802052168164,-0.15147129007577392
-0.44989136806105723,0.060530709037053654
-1.9425382480766828,-0.43032619692102814
-0.6996146011224493,-0.0029771127351795163
-1.7281327504261343,-0.45474374596242073
-0.9938577006612023,-0.4745941989966341
-1.5917619938147163,-0.09292009302090648
-1.8200044087777902,-0.3041076014499092
-1.869357894832155,-0.4219071491319257
-1.8783302870200034,-0.8117906628574684
