,double
0,0.5701754385964912
1,0.6097222222222223
2,0.11111111111111112
3,0.5542146837634583
4,0.53125
5,0.7019230769230769
6,0.5603715170278637
7,0.7086855144272807
8,0.6654135338345865
9,0.599624060150376
10,0.6301410105757932
11,0.2769097222222222
12,0.7293233082706767
13,0.3838383838383838
14,0.4921473874962248
15,0.20816326530612247
16,0.5287999999999999
17,0.8
18,0.4986111111111111
19,0.16666666666666666
20,0.6181589163014662
21,0.3042763157894737
22,0.6217948717948718
23,0.29411764705882354
24,0.6269309239288837
25,0.3111111111111111
26,0.5676691729323309
27,0.4285714285714286
28,0.6178025851938894
29,0.9444444444444444
30,0.5818195291327913
31,0.3533834586466166
32,0.5303030303030303
33,0.4737239504681366
34,0.5833333333333334
35,0.9020408163265307
36,0.4404
37,0.6705882352941176
38,0.1111111111111111
39,0.5765666423199698
40,0.287828947368421
41,0.47756410256410253
42,0.5108359133126935
43,0.387496356747304
44,0.6877777777777778
45,0.36466165413533835
46,0.5238095238095238
47,0.6233842538190365
48,1.0
49,0.4418191056910569
50,0.5864661654135339
51,0.5606060606060607
52,0.5055874358199939
53,0.8333333333333334
54,0.616326530612245
55,0.5275000000000001
56,0.28
57,0.6235294117647059
58,0.5539986068278959
59,0.33223684210526316
60,0.1730769230769231
61,0.26315789473684215
62,0.3449431652579423
63,0.25999999999999995
64,0.3571428571428572
65,0.48245614035087714
66,0.6314629847238542
67,0.9444444444444445
68,0.5
69,0.40225563909774437
70,0.32828282828282834
71,0.5764119601328903
72,0.4722222222222222
73,0.20408163265306123
74,0.4977000000000001
75,0.72
76,0.7000000000000001
77,0.40296052631578944
78,0.3878205128205128
79,0.628482972136223
80,0.5308947828621393
81,0.19777777777777777
82,0.2725563909774436
83,0.5294486215538847
84,0.43301997649823737
85,0.3888888888888889
86,0.5603086890243902
87,0.3609022556390978
88,0.5757575757575758
89,0.5229537903956509
90,0.5833333333333333
91,0.6938775510204083
92,0.4855
93,0.6
94,0.8058823529411765
95,0.3621794871794871
96,0.3653250773993808
97,0.5288545613523754
98,0.21333333333333335
99,0.49248120300751885
100,0.3709273182957394
101,0.6389541715628672
102,0.3888888888888889
103,0.34364413956639567
104,0.3533834586466166
105,0.4924242424242424
106,0.427061310782241
107,0.6944444444444444
108,0.7755102040816326
109,0.4936
110,0.52
111,0.8058823529411765
112,0.3653250773993808
113,0.4985426989215972
114,0.52
115,0.4342105263157895
116,0.5281954887218046
117,0.5774089306698001
118,0.6111111111111112
119,0.2994685806233062
120,0.8007518796992481
121,0.42424242424242425
122,0.5431893687707641
123,0.5833333333333334
124,0.24489795918367346
125,0.4113
126,0.6799999999999999
127,0.711764705882353
128,0.5512969979597785
129,0.43777777777777777
130,0.36278195488721804
131,0.5087719298245614
132,0.4433019976498237
133,0.7777777777777778
134,0.4481178014905149
135,0.5225563909774437
136,0.5252525252525252
137,0.4930534581697373
138,0.3611111111111111
139,0.6857142857142857
140,0.5061
141,0.27999999999999997
142,0.611764705882353
143,0.6411111111111112
144,0.9154135338345865
145,0.543233082706767
146,0.608695652173913
147,0.8333333333333334
148,0.639841632791328
149,0.3984962406015038
150,0.31313131313131315
151,0.5311084264572636
152,0.3611111111111111
153,0.6448979591836735
154,0.5917
155,0.48000000000000004
156,0.4411764705882353
157,0.75
158,0.456140350877193
159,0.4303760282021152
160,0.3333333333333333
161,0.5488721804511277
162,0.5757575757575758
163,0.43415886439142254
164,0.5555555555555556
165,0.9551020408163264
166,0.39565
167,0.88
168,0.25
169,0.4768170426065163
170,0.604876615746181
171,0.888888888888889
172,0.5378980352303523
173,0.7593984962406015
174,0.441919191919192
175,0.4844457867713682
176,0.0
177,0.3877551020408163
178,0.4567
179,0.43999999999999995
180,0.6882352941176471
181,0.5806404230317274
182,0.8333333333333334
183,0.36534552845528456
184,0.5112781954887219
185,0.5151515151515151
186,0.4833887043189369
187,0.4166666666666667
188,0.5673469387755102
189,0.46730000000000005
190,0.6800000000000002
191,0.7382352941176471
192,0.6666666666666667
193,0.4736842105263158
194,0.5732323232323232
195,0.5437934158864391
196,0.75
197,0.9102040816326531
198,0.48050000000000004
199,0.3
200,0.44705882352941173
201,0.34210526315789475
202,0.4696969696969697
203,0.5376019329507702
204,0.638888888888889
205,0.22448979591836737
206,0.5435
207,0.48
208,0.6970588235294117
209,0.3939393939393939
210,0.5330715795832075
211,0.24897959183673468
212,0.5014000000000001
213,0.3529411764705882
214,0.22474747474747475
215,0.5111748716399879
216,0.7777777777777778
217,0.8204081632653062
218,0.5658
219,0.18823529411764706
220,0.44201147689519776
221,0.5555555555555556
222,0.9142857142857143
223,0.4105
224,0.6799999999999999
225,0.4647058823529411
226,1.0
227,0.1469387755102041
228,0.46144999999999997
229,0.11999999999999997
230,0.6411764705882352
231,0.39183673469387753
232,0.51575
233,0.5
234,0.7794117647058822
235,0.44489999999999996
236,0.8
237,0.49411764705882355
238,0.6000000000000001
239,0.4823529411764706
240,0.5527777777777778
241,0.8333333333333334
242,0.43622687063788346
243,0.36348684210526316
244,0.4967948717948718
245,0.4860681114551084
246,0.4739143106965899
247,0.46616541353383456
248,0.47807017543859653
249,0.5787309048178614
250,0.5896426151761518
251,0.4511278195488722
252,0.4696969696969698
253,0.5331470854726669
254,0.46938775510204084
255,0.422
256,0.4647058823529412
257,0.75
258,0.36060569171671264
259,0.2648026315789474
260,0.7275641025641025
261,0.5882352941176471
262,0.3755464879044011
263,0.2631578947368421
264,0.5087719298245614
265,0.3299059929494712
266,0.736842105263158
267,0.3964646464646465
268,0.5016611295681064
269,0.4285714285714286
270,0.4705
271,0.6588235294117647
272,0.49924018016555755
273,0.5953947368421053
274,0.5833333333333333
275,0.45510835913312697
276,0.45249198484406883
277,0.537593984962406
278,0.37531328320802004
279,0.5966509988249119
280,0.8999407181571816
281,0.6578947368421053
282,0.42424242424242425
283,0.49456357595892475
284,0.40816326530612246
285,0.4701
286,0.2647058823529412
287,0.42598684210526316
288,0.5416666666666666
289,0.8823529411764706
290,0.6525794229087729
291,0.6823308270676691
292,0.4586466165413534
293,0.6336662749706228
294,0.7705157520325203
295,0.5037593984962406
296,0.5555555555555556
297,0.5892479613409847
298,0.616326530612245
299,0.5186
300,0.411764705882353
301,0.6217948717948718
302,0.29411764705882354
303,0.47974351501020107
304,0.3928571428571429
305,0.4899749373433584
306,0.3262338425381903
307,0.7293233082706767
308,0.547979797979798
309,0.5155542132286318
310,0.27346938775510204
311,0.383
312,0.7294117647058824
313,0.31578947368421056
314,0.4441853686971728
315,0.5526315789473685
316,0.49154135338345867
317,0.5167450058754406
318,0.5545710535230353
319,0.5413533834586466
320,0.3535353535353535
321,0.4213228631833283
322,0.31836734693877555
323,0.5505000000000001
324,0.5117647058823529
325,0.8053045759253862
326,0.7086466165413534
327,0.4680451127819549
328,0.7156286721504113
329,0.6240601503759399
330,0.46464646464646464
331,0.5570824524312897
332,0.8122448979591836
333,0.41650000000000004
334,0.18235294117647058
335,0.8082706766917294
336,0.4586466165413534
337,0.7520564042303173
338,0.37277693089430897
339,0.6466165413533835
340,0.7196969696969697
341,0.5197825430383569
342,0.6571428571428571
343,0.44800000000000006
344,0.5411764705882353
345,0.44110275689223055
346,0.5945945945945945
347,0.8585387025745258
348,0.6165413533834587
349,0.5126262626262625
350,0.43189368770764125
351,0.636734693877551
352,0.4891
353,0.3705882352941176
354,0.6753819036427732
355,0.5241361788617886
356,0.6917293233082706
357,0.3813131313131313
358,0.45922681969193596
359,0.6285714285714286
360,0.47989999999999994
361,0.3647058823529412
362,0.46992481203007525
363,0.41414141414141414
364,0.5878888553307159
365,0.10204081632653061
366,0.5001
367,0.5882352941176471
368,0.48686197523406827
369,0.6285714285714286
370,0.5112000000000001
371,0.3294117647058824
372,0.7297979797979798
373,0.5317124735729387
374,0.1306122448979592
375,0.4011
376,0.5823529411764705
377,0.45650860767139845
378,0.6081632653061224
379,0.35660000000000003
380,0.2705882352941177
381,0.8530612244897959
382,0.4592
383,0.38823529411764707
384,0.4226500000000001
385,0.3294117647058824
386,0.15882352941176472
387,0.6944444444444445
388,0.3979230914894768
389,0.4736842105263159
390,0.7243589743589743
391,0.34674922600619196
392,0.44272806761877
393,0.4711111111111112
394,0.3665413533834586
395,0.4899749373433584
396,0.5091069330199764
397,0.6111111111111113
398,0.5789473684210527
399,0.5252525252525253
400,0.4225309574146784
401,0.9444444444444444
402,0.5387755102040817
403,0.5398000000000001
404,0.3647058823529412
405,0.5869937915922739
406,0.709703947368421
407,0.5961538461538461
408,0.26315789473684215
409,0.4658991547653745
410,0.3705555555555555
411,0.3308270676691729
412,0.5062656641604011
413,0.6693595769682726
414,0.5
415,0.8173378218157181
416,0.5639097744360902
417,0.5984848484848485
418,0.45175173663545753
419,0.1111111111111111
420,0.27346938775510204
421,0.58015
422,0.5852941176470587
423,0.537828947368421
424,0.2820512820512821
425,0.5975232198142415
426,0.5782570679102302
427,0.7777777777777778
428,0.6691729323308271
429,0.5319548872180451
430,0.4603407755581669
431,0.22222222222222224
432,0.5703230860433606
433,0.4661654135338346
434,0.6287878787878788
435,0.5516460283902145
436,0.027777777777777776
437,0.07346938775510205
438,0.45699999999999996
439,0.4117647058823529
440,0.5608974358974359
441,0.4520123839009288
442,0.5262314194112503
443,0.5655555555555556
444,0.46240601503759404
445,0.46710526315789475
446,0.6715628672150411
447,0.16666666666666666
448,0.6029598577235772
449,0.5601503759398496
450,0.4924242424242425
451,0.45635759589247965
452,0.9444444444444444
453,0.636734693877551
454,0.5038
455,0.6647058823529411
456,0.3777089783281734
457,0.6155639755173419
458,0.5
459,0.5037593984962406
460,0.5034461152882206
461,0.5434782608695652
462,0.5
463,0.7134146341463414
464,0.5225563909774436
465,0.6843434343434343
466,0.4840682573240712
467,0.8055555555555556
468,0.17755102040816328
469,0.53845
470,0.5323529411764706
471,0.6862430778198775
472,0.4455555555555556
473,0.6748120300751881
474,0.4520676691729324
475,0.6678907168037603
476,0.5126079776422765
477,0.7593984962406016
478,0.7525252525252525
479,0.5640289942615525
480,0.7777777777777777
481,0.4244897959183674
482,0.4405
483,0.4647058823529412
484,0.36
485,0.9022556390977444
486,0.41604010025062654
487,0.6784665099882491
488,0.7222222222222222
489,0.6122967479674797
490,0.5977443609022556
491,0.6691919191919192
492,0.5137420718816067
493,0.7777777777777778
494,0.8816326530612246
495,0.4578
496,0.3529411764705882
497,0.5357142857142858
498,0.4176065162907268
499,0.5586075205640424
500,0.5378787878787878
501,0.5234068257324072
502,0.5183673469387755
503,0.46560000000000007
504,0.5411764705882353
505,0.4273182957393484
506,0.6461515863689776
507,0.16666666666666666
508,0.7544249661246611
509,0.49248120300751885
510,0.7853535353535352
511,0.5465116279069767
512,0.9444444444444444
513,0.5224489795918367
514,0.4156
515,0.5058823529411764
516,0.6896298472385429
517,0.22222222222222224
518,0.7162940379403794
519,0.6466165413533835
520,0.7676767676767676
521,0.4628511023859861
522,0.41666666666666663
523,0.11836734693877553
524,0.5940000000000001
525,0.7294117647058824
526,0.23308270676691734
527,0.5883838383838385
528,0.446843853820598
529,0.18055555555555555
530,0.2530612244897959
531,0.551
532,0.31176470588235294
533,0.46085858585858586
534,0.5628209000302024
535,0.0979591836734694
536,0.55605
537,0.5470588235294118
538,0.5025252525252525
539,0.4620960434913923
540,0.39183673469387753
541,0.4743
542,0.12941176470588237
543,0.5606060606060607
544,0.5098157656297192
545,0.3055555555555555
546,0.37551020408163266
547,0.49734999999999996
548,0.31176470588235294
549,0.5105708245243129
550,0.38888888888888884
551,0.6
552,0.45985
553,0.48823529411764705
554,0.08333333333333333
555,0.5061224489795919
556,0.439
557,0.7352941176470589
558,0.24489795918367352
559,0.4323
560,0.5235294117647059
561,0.5315500000000001
562,0.411764705882353
563,0.6823529411764707
564,0.43201962614294215
565,0.43667763157894735
566,0.6794871794871795
567,0.4179566563467492
568,0.531769163509181
569,0.6327777777777778
570,0.2575187969924812
571,0.41666666666666674
572,0.6003231492361927
573,0.6111111111111112
574,0.27071688685636863
575,0.5488721804511278
576,0.5353535353535354
577,0.4907882814859559
578,0.08333333333333333
579,0.024489795918367346
580,0.50665
581,0.56
582,0.8
583,0.48355263157894735
584,0.36538461538461536
585,0.653250773993808
586,0.5424074613815214
587,0.4011111111111111
588,0.5845864661654135
589,0.4141604010025063
590,0.5135135135135136
591,0.33333333333333337
592,0.3228002201897019
593,0.406015037593985
594,0.5909090909090909
595,0.6147689519782544
596,0.1111111111111111
597,0.8367346938775511
598,0.43260000000000004
599,0.24705882352941175
600,0.4551282051282052
601,0.195046439628483
602,0.4658991547653745
603,0.37333333333333335
604,0.4154135338345865
605,0.5006265664160401
606,0.5561104582843713
607,0.5277777777777778
608,0.6842105263157895
609,0.5631313131313131
610,0.5223497432799759
611,0.375
612,0.42040816326530617
613,0.43560000000000004
614,0.49411764705882355
615,0.35603715170278644
616,0.48630136986301364
617,0.5033333333333334
618,0.424812030075188
619,0.4429824561403509
620,0.30096944770857814
621,0.5
622,0.22004149728997288
623,0.6541353383458647
624,0.18686868686868685
625,0.45197825430383565
626,0.1388888888888889
627,0.2530612244897959
628,0.5162
629,0.4176470588235294
630,0.5923928883707374
631,0.3838888888888889
632,0.6672932330827067
633,0.5006265664160401
634,0.36912455934195065
635,0.0
636,0.5939849624060151
637,0.3459595959595959
638,0.42071881606765327
639,0.25
640,0.8244897959183674
641,0.4506
642,0.40588235294117647
643,0.3127777777777778
644,0.8383458646616542
645,0.6165413533834586
646,0.4856051703877791
647,0.2222222222222222
648,0.2190040650406504
649,0.518796992481203
650,0.7474747474747475
651,0.48308668076109934
652,0.4444444444444444
653,0.3020408163265306
654,0.5179
655,0.6470588235294118
656,0.5488721804511278
657,0.47117794486215536
658,0.3898354876615746
659,0.5
660,0.3232323232323232
661,0.5193295077016007
662,0.4166666666666667
663,0.6653061224489796
664,0.5242
665,0.3029411764705882
666,0.5914786967418546
667,0.5262925969447709
668,0.7777777777777779
669,0.2960069444444444
670,0.5263157894736843
671,0.6186868686868687
672,0.49335548172757476
673,0.4027777777777778
674,0.6081632653061225
675,0.5393
676,0.3294117647058824
677,0.5709459459459459
678,0.3888888888888889
679,0.7067669172932332
680,0.3939393939393939
681,0.4882210812443371
682,0.9166666666666666
683,0.3224489795918367
684,0.5714
685,0.38
686,0.3235294117647059
687,0.3888888888888889
688,0.5
689,0.5126262626262627
690,0.47372395046813653
691,0.41666666666666663
692,0.14285714285714285
693,0.5271
694,0.09705882352941175
695,0.6186868686868687
696,0.42932648746602237
697,0.25
698,0.07346938775510205
699,0.57945
700,0.44705882352941173
701,0.43581999395952886
702,0.5346938775510204
703,0.5467
704,0.2588235294117647
705,0.5303030303030303
706,0.47780126849894294
707,0.027777777777777776
