,double
0,0.5350877192982456
1,0.4861111111111111
2,0.6666666666666666
3,0.45940120651409405
4,0.6101973684210527
5,0.9358974358974359
6,0.6068111455108359
7,0.5574176624890702
8,0.6748120300751881
9,0.4981203007518797
10,0.2873090481786134
11,0.7983782181571815
12,0.5639097744360902
13,0.26515151515151514
14,0.6028390214436725
15,0.46122448979591835
16,0.5979000000000001
17,0.3764705882352941
18,0.4541666666666667
19,0.33333333333333337
20,0.5792748742087324
21,0.5246710526315789
22,0.7147435897435898
23,0.4086687306501548
24,0.35907898571844943
25,0.38555555555555554
26,0.4172932330827068
27,0.4548872180451128
28,0.47003525264394835
29,0.33333333333333337
30,0.6466378726287263
31,0.4586466165413534
32,0.5151515151515151
33,0.46118997281787977
34,0.3333333333333333
35,0.8448979591836734
36,0.5029
37,0.35294117647058826
38,0.2222222222222222
39,0.524009900990099
40,0.5805921052631579
41,0.782051282051282
42,0.4086687306501548
43,0.350480909355873
44,0.6488888888888888
45,0.46240601503759404
46,0.4943609022556391
47,0.5590481786133961
48,0.38888888888888895
49,0.1906546409214092
50,0.46616541353383456
51,0.24494949494949497
52,0.466626396858955
53,0.3611111111111111
54,0.8938775510204082
55,0.5713000000000001
56,0.52
57,0.27647058823529413
58,0.5473191581453227
59,0.6381578947368421
60,0.4230769230769231
61,0.4024767801857585
62,0.2662489070241912
63,0.3766666666666667
64,0.306390977443609
65,0.5595238095238095
66,0.5152761457109284
67,0.6666666666666667
68,0.6015836720867209
69,0.5939849624060151
70,0.5681818181818182
71,0.4921473874962247
72,0.7777777777777778
73,0.4408163265306122
74,0.5262
75,0.16000000000000003
76,0.41764705882352937
77,0.45065789473684204
78,0.11538461538461539
79,0.563467492260062
80,0.39696881375692217
81,0.15333333333333335
82,0.4586466165413534
83,0.5025062656641605
84,0.6430669800235018
85,0.5
86,0.1375338753387534
87,0.4210526315789474
88,0.5656565656565656
89,0.4738749622470553
90,0.9722222222222222
91,0.4122448979591837
92,0.4624
93,0.48
94,0.47647058823529415
95,0.4839743589743589
96,0.6346749226006192
97,0.19498688429029437
98,0.44666666666666666
99,0.34774436090225563
100,0.46804511278195493
101,0.34694477085781433
102,0.16666666666666666
103,0.23246951219512196
104,0.3834586466165414
105,0.4090909090909091
106,0.5819993959528843
107,0.3055555555555556
108,0.7061224489795919
109,0.4868
110,0.56
111,0.5470588235294117
112,0.65015479876161
113,0.30807344797435154
114,0.7022222222222223
115,0.2857142857142857
116,0.4843358395989975
117,0.48589894242068155
