,PCA1,PCA2,Type
0,26.15109707936808,-2.1610350188957117,Control
1,-9.997539943517024,-5.679667549567767,Control
2,-9.81785296554175,-9.333375782908961,Control
3,-4.077790706647912,-9.630370707116839,Control
4,-15.701098028605198,0.9172136684674214,Control
5,-20.01986865150901,-4.675017175090429,Control
6,30.48607890587119,1.6484619830497564,Control
7,-13.267116492949208,-4.555366860077637,Control
8,-6.349403470099628,-1.2019235463288287,Control
9,33.622155385680216,-5.078235807136142,Control
10,-2.4463325382343934,-9.597650970584699,Control
11,20.505676642794363,3.529103037459692,Control
12,-8.90929922053103,-3.1859557005242585,Control
13,29.842199014811737,3.3563636439522075,Control
14,-14.97691730530359,-7.2713537063706895,Control
15,1.0522364428671882,9.261222854125908,Control
16,35.3257764875481,-2.6911888274920344,Control
17,-13.450015205144323,-10.533121374655538,Control
18,-1.5025141136527973,-7.065478552213218,Control
19,30.083971658149665,1.110687265890235,Control
20,-9.099060808137972,-1.1574757458112581,Control
21,-7.015050960621877,-6.1814451712998215,Control
22,-22.611450967421597,-4.9314467933215465,Control
23,-10.573754819430073,-4.567591109829326,Control
24,-12.846645178721559,-5.008635679976101,Control
25,-9.08366758526043,-0.49947020003317977,Control
26,-11.701388883676758,-7.277489516419679,Control
27,-5.795654954862292,10.546577574991131,Control
28,38.76854012527841,-1.1119743608360282,Control
29,27.03358930722781,-3.557936549651231,Control
30,-20.961180304245076,10.737895380127014,Control
31,-23.760260452307122,0.9340671835722331,Control
32,-25.82825536250339,-1.8246817307366765,Control
33,-10.106616138775287,-7.492548514394992,Control
34,0.7941338286117752,-7.91128854322249,Control
35,2.643261119268344,-0.5640395511966896,Control
36,32.68873645864365,3.569612491529767,Control
37,-9.085964810371125,-3.816175942083929,Control
38,-5.230206420776587,-5.8749988535578295,Control
39,-8.309845101002136,-8.157010982387265,Control
40,-11.22615390635885,1.833788854548081,Control
41,-6.547797089948151,-8.045056277532515,Control
42,10.39806554624992,6.1232565968623,Control
43,-4.228699064365031,1.26111445453409,Control
44,24.22988752802818,-2.424687871021134,Control
45,29.506745750612154,0.20564974771774824,Control
46,-4.833416224714527,-0.9539324392894993,Control
47,-32.8953084809027,11.078577195998298,Control
48,-8.709597698917591,-3.0534572219313705,Control
49,-8.332987117090626,-7.8168761209424735,Control
50,-4.014308632302089,-5.638616404332435,Control
51,5.7897092882054375,6.841005701670099,Control
52,-11.600816951228644,2.515268105223359,Control
53,25.3490544810317,-0.5587506056436943,Control
54,-6.191822161781111,-8.111673993667305,Control
55,-12.909938216561942,-3.3234569315729714,Control
56,17.084299794562753,1.4923069101864292,Control
57,-11.01632940816484,-5.176029136278003,Control
58,-3.6222083028066066,6.107176442311807,Control
59,2.6426696537585825,-0.0033618633987674575,Control
60,-13.847726913778653,-4.403028697373298,Control
61,-10.440043423562951,-9.519668519648441,Control
62,34.30267062516371,-4.923212757762108,Control
63,-11.25669799274893,-5.737203566600007,Control
64,5.970324050676496,-2.7634094294719094,Control
65,0.8269894473241449,-2.0490068461186377,Control
66,-2.3118209547985615,-2.994500958161799,Control
67,-3.36319240668382,1.7101440074368044,Control
68,-23.15440396981806,-5.049883503444839,Control
69,26.36113826506026,2.085072454173978,Control
70,-11.556976293862594,-1.8623781796048247,Control
71,-2.846269956832641,-1.2060314571584374,Control
72,-8.038598036164023,-6.9642162268369265,Control
73,13.164429922422844,10.5301855164208,Control
74,-10.540222369071335,-4.687744444288804,Control
75,3.5340277456660556,-4.802720807726569,Control
76,28.307913310956934,-3.6358733655603395,Control
77,-11.74694917906601,-8.032690522229236,Control
78,-8.118799783377458,-6.585701072390821,Control
79,4.3602901466525585,-1.2187267125598413,Control
80,-4.910836283791508,-2.23889521801595,Control
81,-8.481653066281519,-7.997404149360051,Control
82,-9.725636558787155,0.543467495785668,Control
83,23.621901514868927,2.2884170121237166,Control
84,-8.355350678481546,-4.319613497180321,Control
