,PCA1,PCA2,Type
0,-8.732095633953744,14.139498071771579,Cancer
1,-9.031670122301598,12.583827317423797,Cancer
2,-9.975554411849636,12.253681179302973,Cancer
3,-9.055602488010916,12.359136858464375,Cancer
4,-10.12704214024456,12.808990901232931,Cancer
5,-4.369864094099712,-4.826515351429801,Cancer
6,-3.1614836811186304,-4.952465817808787,Cancer
7,-2.4646749152860403,-11.557773479126194,Cancer
8,-2.1868993880010756,-12.112145545730955,Cancer
9,-3.190320357228661,-10.751854264792545,Cancer
10,-2.67749884210387,-11.135151682735781,Cancer
11,-5.480953944095126,-5.067398359086717,Cancer
12,-4.868653800707953,-5.802917805179478,Cancer
13,-4.873058150525506,-7.197678776065323,Cancer
14,-5.506689504868886,-6.996364320906211,Cancer
15,-4.722419427570961,-6.459361595943696,Cancer
16,-7.54298246385118,0.9828054691780367,Cancer
17,-8.668054435759576,8.14991010525991,Control
18,-8.183603574811125,10.288043243482708,Control
19,-5.6916831189544475,-3.6727421430286085,Control
20,-8.762127533146625,12.5793494065032,Control
21,7.914031024337074,4.364844219157591,Control
22,8.624070625131926,7.443841999769629,Control
23,26.841317529208283,8.54519557407007,Control
24,20.518731653901686,3.6977703809291156,Control
25,12.543851499053373,-0.06002720784930606,Control
26,22.175818548094067,2.626093711130953,Control
27,22.67986506584833,5.7433859851429006,Control
28,16.2673291403708,-8.439018422872092,Control
29,-1.364791970284316,-0.3076679066086531,Control
30,-0.33122276069569795,-1.3451393514031154,Control
31,-3.0006775120676146,-5.609017914308435,Control
32,3.9592971609854986,1.2596740380508207,Control
33,-3.374068413287097,-7.322263196930133,Control
34,-1.4143364419340017,-7.455910294069168,Control
35,-2.7662831201725067,-8.754635024995604,Control
