,PCA1,PCA2,Type
0,175.818831212323,36.32862892137614,Cancer
1,192.40902904077294,2.7046078705884824,Cancer
2,70.1216029178598,-79.11386096810071,Cancer
3,164.52652649820496,2.9784895883553384,Cancer
4,372.24718920640646,77.17258381157406,Cancer
5,169.9219452130449,-44.03277098744067,Cancer
6,40.64519552292339,-79.69927418656357,Cancer
7,-228.61830345124048,-84.19610189579447,Control
8,-239.75280289006503,-57.42280603537874,Control
9,-241.39361657309587,-3.8781644237122745,Control
10,-229.25946011892626,156.1252658633678,Control
11,-246.6661365782079,73.03340244172854,Control
