,PCA1,PCA2,Type
0,-29.80928714011077,0.6602197708937567,Cancer
1,42.031469469035365,-20.910381588488075,Cancer
2,-23.840879903741055,-9.033494593147541,Cancer
3,-21.2708535671692,-7.217357721725212,Cancer
4,-21.943807728230997,-5.0065400642275675,Cancer
5,-11.187737419586217,-2.940200289104237,Cancer
6,11.997854163209317,-3.5213162757870684,Cancer
7,-13.89752075549201,-4.087804905974434,Cancer
8,3.0815248489855063,14.750469230440624,Cancer
9,-29.006656923391052,3.770561097687187,Cancer
10,31.106979701341963,0.8131568396851859,Cancer
11,35.630162750066674,-13.335810232694234,Cancer
12,63.94800720432716,-21.13630238903597,Cancer
13,23.23528480094425,5.629552549731765,Cancer
14,20.208865883040936,12.276393830546843,Cancer
15,36.22043897307587,21.803462089821785,Cancer
16,3.0551205832137063,19.547907692312908,Cancer
17,13.144956029365794,11.369776517167823,Cancer
18,17.364651008476663,8.626466345867028,Cancer
19,-9.980899323933182,6.323104615745959,Cancer
20,32.66723400260311,2.2250596960228517,Cancer
21,-11.391465344078943,4.6323933235187305,Cancer
22,3.559530926896219,13.723136381243766,Cancer
23,-17.690817315951637,8.809376036348953,Cancer
24,27.037553341465046,1.6804028193591802,Cancer
25,37.77623432695534,11.449145994972405,Cancer
26,-1.7382984004946684,3.592953890811545,Cancer
27,-33.49719639874867,-12.182476158511697,Cancer
28,3.9119973424708627,1.692467140398008,Cancer
29,-9.520119013020388,6.332208152560644,Cancer
30,-3.719406077962474,3.32350516462414,Cancer
31,48.01492292441865,-12.872261462120237,Cancer
32,-22.268776213260008,5.600077149346182,Cancer
33,-8.63886811510097,7.323303959462603,Cancer
34,49.56032789497138,-15.127515206556792,Cancer
35,-25.350359498330096,-10.098293583412769,Control
36,-35.580122173353196,-8.93295591682477,Control
37,-33.45035171026192,-1.4166800333825975,Control
38,-33.23254383923609,-7.683846142370689,Control
39,-35.89400895074663,-6.925787565435237,Control
40,-38.16797543734944,-6.66538746099503,Control
41,-32.47516492531425,-6.860688698775753,Control
