abc,means,variances
6,6.982632610760124,5.823324742486478
14,11.111101603689553,1.4208757731340702
17,6.388264452235961,11.494823148674115
22,6.412482406878863,1.4356234559054932
26,6.215556764407442,3.9473147063999146
28,7.421820479288698,3.3769335213041263
29,6.824309611108679,3.3209861398060916
30,7.993815206253,0.429294525760844
31,5.879912545769823,1.9885376384305455
38,6.567066757818945,7.08252291585186
39,8.266985134783694,0.9434806647467241
42,8.227444643823668,1.817374757083467
44,9.975875596195317,2.256005268235803
46,9.001570221926764,1.3180682741221361
47,8.560460617127555,3.8389225937636966
48,6.3885613446018406,1.4070284562288737
49,6.477067204990778,4.54255281318455
50,8.189188383486766,4.234243579540858
52,9.532297294779562,1.8349525040062105
54,7.809533802348938,8.934452225997967
55,7.8514725307652045,4.5430551032932245
59,10.100426849798643,1.0310342138558968
61,5.584675874362753,1.8140681425751761
68,9.840919941390426,2.6443277960340077
69,7.054899301969681,4.290924566228216
74,7.582602918409987,3.45253186652293
76,8.500215493167088,0.7846640018078409
79,8.30401471599754,5.5777846933928545
85,7.224752045026569,4.818255371961177
94,7.530090380213976,3.7160743834544623
98,7.82570382405867,5.541697302104254
103,9.304523380940422,18.394629416394984
106,8.913443162444834,1.4190646622792287
107,7.808815104242832,2.6608008296004164
108,6.36480290585975,1.4167978415309754
111,6.881422105502085,2.469768858492865
119,7.160149156512393,2.3731044604454747
127,8.329864463720545,4.006116141126493
128,8.806285586359428,14.34661973698146
132,8.750236226124512,1.278726346774478
138,5.6239406828521235,3.4288190078742304
139,6.236622773889437,2.404470156184255
142,8.781677476114277,6.986524961070626
144,9.132721479713412,0.7157385818612996
147,7.834434434320574,5.512043855997301
151,8.986121128655792,6.66604156366751
152,8.80515574724529,7.675242280901226
157,8.228127710166328,0.3855927916130069
158,7.327441231077363,4.003824247419334
162,6.3641781290722195,1.8190484772602755
168,8.604586390361776,4.126283094345126
169,7.509584359263532,1.9084522791670675
174,9.393565458868677,2.6186280868230187
176,7.574943247036877,8.475453863801583
177,8.207559097121,0.5761376560223879
178,6.328072937572063,0.8238905176579651
179,8.916900471854504,3.0645201364473293
183,7.301505688193768,5.056117528933495
184,8.742114297636773,0.25315302100786535
188,7.173747672099641,4.2121174455180075
190,9.090768056014882,2.479474868650798
203,8.743187877392513,2.9666481478115365
206,8.224014488719009,0.9936895421720493
207,7.246224214055847,2.4622371209859795
209,9.231010432129223,0.9132241107307916
212,8.095275608873157,1.0438633971875382
214,8.13765135310479,1.4461979271782737
216,9.304857866592732,1.623255287274411
217,7.693374804281993,1.7852017263142812
218,6.417874222158613,4.867474421622538
219,7.737501544919955,3.9966370882341065
223,10.422879665686699,1.1804216024019123
224,8.641255901631148,0.3956836774033472
227,8.900256368317192,5.377374681816245
232,9.07682904329537,0.7297068856097945
237,8.064263575230848,2.2403990968623924
241,7.655619035128995,6.149965845858692
250,10.728599163572758,5.148464352813026
253,8.904714364177108,4.111847826483923
257,6.783432558387435,5.001337405912637
261,9.394868112780953,16.03365134019576
265,6.611810460976476,3.4429464623190817
266,10.016606770599354,3.282967350219842
268,10.151521840883687,2.387278353065668
270,6.818441907930197,0.6114763579666709
271,9.398428574989236,4.323269731573384
272,8.897175108573443,1.4329646707780805
273,8.237743648013423,0.1697348153514497
277,9.45620097256248,11.165912454426753
280,7.3421049666579625,1.3257437007784014
284,7.683326304130897,5.318943118256371
285,8.715981144679732,5.796161408292519
293,6.719906419175462,1.6057584053268015
296,8.819431521579165,2.5201752530664074
299,8.871154129370325,0.1671786629817448
300,9.237992896195363,0.9673220377887115
301,8.341084439194518,0.7059151562853142
302,10.024037293997846,1.5495969846654891
304,8.467547102893162,3.305850005720451
314,7.730101794637084,8.014854320431217
